,Judge_Name,Judge_Reject,Judge_Impose,Judge_Impose2,Def_Race,Court,Def_Gender,AnyCriminalHistory,crimetype_people,crimetype_violent,crimetype_property,crimetype_drug,crimetype_mva,crimetype_financial,crimetype_firearms,days_btwn_arrest_plea,days_btwn_plea_tender,DefAttorneyType,X1stCharge_Status,X1stPROS_SentLength,X1stPROS_ProbLength,X1stPROS_SentenceType,RehabTreatment,X1stPROS_Prison.,X1stPROS_Probation
0,Julia Obrien,No,Yes,Unknown,Black,Superior Court,"Other (please specify their preferred gender identity, if known)",1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,322.0,46.0,a private attorney,Guilty verdict/finding,9.0,34.0,Probation,No,No,No
1,Rebecca Becker,Yes,Yes,Less,Hispanic,District Court,Female,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,244.0,718.0,unknown,267/87,6.0,47.0,"State Prison,Probation",No,No,Yes
2,Matthew Perez,No,No,Unknown,Hispanic,District Court,Female,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,448.0,279.0,a private attorney,Guilty verdict/finding,3.0,14.0,State Prison,Yes,No,No
3,Paul Russell,Yes,No,Unclear,Black,Not yet determined,Male,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,405.0,98.0,a court-appointed lawyer,Guilty verdict/finding,2.0,38.0,Probation,Yes,No,No
4,Rebecca Becker,No,Yes,More,White,District Court,"Other (please specify their preferred gender identity, if known)",0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,424.0,706.0,a private attorney,Guilty verdict/finding,5.0,31.0,Probation,No,Yes,No
5,Julia Obrien,Yes,No,Unclear,Hispanic,District Court,Male,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,539.0,624.0,a private attorney,Guilty verdict/finding,0.0,11.0,County/Split,No,Yes,Yes
6,Roger Hensley,Yes,Yes,More,Unknown,District Court,Female,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,693.0,431.0,a private attorney,Continuance without a finding,6.0,37.0,Probation,Yes,No,No
7,Kyle White,No,No,Less,Hispanic,Superior Court,Female,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,793.0,372.0,a private attorney,Dismissed,6.0,48.0,County/Split,No,No,Yes
8,Julia Obrien,No,Yes,Unclear,Black,Superior Court,Female,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,836.0,61.0,from CPCS,Continuance without a finding,10.0,47.0,State Prison,Yes,Yes,Yes
9,Kyle White,No,Yes,Unknown,White,District Court,Female,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,261.0,665.0,from CPCS,Guilty verdict/finding,0.0,13.0,Probation,No,Yes,Yes
